#This data comes from Nasdaq.com, its a concatenation of AMEX, NASDAQ, and NYSE listed tickers from early 2018

Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,65.36,3568656000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aaxj
AAXN,"Axon Enterprise, Inc.",50.6,2950976567,n/a,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aaxn
AB,AllianceBernstein Holding L.P.,30.09,2896853487,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
ABAC,"Renmin Tianli Group, Inc.",1.69,13577029.05,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/abac
ABB,ABB Ltd,20.39,43467475526,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,87.73,1.32847E+11,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),89.17,19292521945,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ABCB,Ameris Bancorp,44.685,2123371411,n/a,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb
ABCD,"Cambium Learning Group, Inc.",14.49,684756045.5,n/a,n/a,Consumer Services,Publishing,https://www.nasdaq.com/symbol/abcd
ABDC,Alcentra Capital Corp.,6.57,88890634.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ABEO,Abeona Therapeutics Inc.,9.89,474159088.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,5.5,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABEV,Ambev S.A.,4.16,65395933820,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,69,1352510193,n/a,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg
ABIL,Ability Inc.,3.26,10773247.02,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABIO,"ARCA biopharma, Inc.",0.8138,11331208.79,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/abio
ABM,ABM Industries Incorporated,32.54,2142817344,n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
ABMD,"ABIOMED, Inc.",413.7,18632408006,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABR,Arbor Realty Trust,12.08,914274365.1,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.55,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.41,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.66,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^c
ABT,Abbott Laboratories,72.96,1.28142E+11,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABTX,"Allegiance Bancshares, Inc.",39.1,522672769,n/a,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ABUS,Arbutus Biopharma Corporation,5.385,298352144.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus
ABX,Barrick Gold Corporation,13.1,15295471863,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/abx
AC,"Associated Capital Group, Inc.",45.84,1053924584,n/a,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",32.93,0,n/a,2018,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aca
ACAD,ACADIA Pharmaceuticals Inc.,19.25,2406379418,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACB,Aurora Cannabis Inc.,7.56,7249436621,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/acb
ACBI,"Atlantic Capital Bancshares, Inc.",15.78,411921956.3,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi
ACC,American Campus Communities Inc,41.05,5625142582,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,8.56,879451361.2,n/a,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ACER,Acer Therapeutics Inc.,25.09,252229468.9,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACET,Aceto Corporation,2.02,62217159.48,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
ACGL,Arch Capital Group Ltd.,28.35,11496615606,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acgl
ACGLO,Arch Capital Group Ltd.,22.6,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,22.08,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acglp
ACH,Aluminum Corporation of China Limited,9.74,5806519788,n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
ACHC,"Acadia Healthcare Company, Inc.",41.705,3681482726,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACHN,"Achillion Pharmaceuticals, Inc.",2.99,414372349.3,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACHV,"Achieve Life Sciences, Inc. ",2.095,9534355.475,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACIA,"Acacia Communications, Inc.",46.62,1885463709,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACIU,AC Immune SA,8.91,600201567.9,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",28.97,3353567982,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACLS,"Axcelis Technologies, Inc.",17.62,571102030.1,n/a,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
ACM,AECOM,33.48,5382925248,n/a,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
ACMR,"ACM Research, Inc.",12,190580160,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACN,Accenture plc,164.5,1.05114E+11,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACNB,ACNB Corporation,40.0057,281590841,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",20.63,979591062.2,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
ACP,Aberdeen Income Credit Strategies Fund,12.93,169047751,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,14.54,417277644,n/a,2012,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acre
ACRS,"Aclaris Therapeutics, Inc.",11.61,359685497.4,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",3.9,241438360.8,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACST,"Acasti Pharma, Inc.",0.9939,77628404.45,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
ACT,AdvisorShares Vice ETF,25.85,14217500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
ACTG,Acacia Research Corporation,3.295,163086235.9,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACU,Acme United Corporation.,18.14,61205466.54,n/a,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
ACV,AllianzGI Diversified Income & Convertible Fund,23.45,241648826.3,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
ACWI,iShares MSCI ACWI Index Fund,70.8,9232320000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwi
ACWX,iShares MSCI ACWI ex US Index Fund,44.975,2959355000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/acwx
ACY,AeroCentury Corp.,12,17000388,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
ADAP,Adaptimmune Therapeutics plc,6.67,443068683.6,66427089,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADBE,Adobe Inc.,249.95,1.22009E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADC,Agree Realty Corporation,58.42,2014411859,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
ADES,"Advanced Emissions Solutions, Inc.",10.06,202330170.6,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
ADI,"Analog Devices, Inc.",89.93,33424280042,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi
ADIL,"Adial Pharmaceuticals, Inc",1.4001,9154167.422,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.3,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADM,Archer-Daniels-Midland Company,48.57,27186445421,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/adm
ADMA,ADMA Biologics Inc,5.73,265582715.2,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADMP,Adamis Pharmaceuticals Corporation,2.8599,135248554.7,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADMS,"Adamas Pharmaceuticals, Inc.",13,355361929,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADNT,Adient plc,28.83,2691908936,n/a,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADOM,"ADOMANI, Inc.",0.5823,42352013.63,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADP,"Automatic Data Processing, Inc.",147.87,64727504627,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/adp
ADRA,Invesco BLDRS Asia 50 ADR Index Fund,30.22,18132000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adra
ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,21.4199,50336765,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adrd
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,38.2,129880000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adre
ADRO,"Aduro Biotech, Inc.",4.21,334291193.6,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
ADRU,Invesco BLDRS Europe Select ADR Index Fund,20.87,13565500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adru
ADS,Alliance Data Systems Corporation,212.92,11698589396,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads
ADSK,"Autodesk, Inc.",140.62,30741870932,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adsk
ADSW,"Advanced Disposal Services, Inc.",26.73,2369918286,n/a,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
ADT,ADT Inc.,8.1,6210833525,n/a,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ADTN,"ADTRAN, Inc.",14.48,691263181.6,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADUS,Addus HomeCare Corporation,75,957945900,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
ADVM,"Adverum Biotechnologies, Inc.",3.74,234475836.8,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
ADX,"Adams Diversified Equity Fund, Inc.",15.98,1611877799,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
ADXS,"Advaxis, Inc.",0.58,40307186.42,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
AE,"Adams Resources & Energy, Inc.",41.47,174903706.1,n/a,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
AEB,Aegon NV,22.67,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.5464,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
AEE,Ameren Corporation,66.3,16196811010,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.64,401713545.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aef
AEG,Aegon NV,6.25,12776495363,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEGN,Aegion Corp,20.33,656943416.7,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AEH,Aegon NV,25.39,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AEHR,Aehr Test Systems,2.03,45157542.85,n/a,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",45.04,1733547037,n/a,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AEL,American Equity Investment Life Holding Company,35.77,3229230682,n/a,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
AEM,Agnico Eagle Mines Limited,35.52,8331367315,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
AEMD,"Aethlon Medical, Inc.",1.17,20823950.16,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
AEO,"American Eagle Outfitters, Inc.",22.82,4047490911,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",74.17,36573881699,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
AER,Aercap Holdings N.V.,51.87,7622871064,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",50.01,2261564873,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
AES,The AES Corporation,15.67,10368579912,n/a,n/a,Basic Industries,Electric Utilities: Central,https://www.nasdaq.com/symbol/aes
AET,Aetna Inc.,209.23,68501902000,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet
AETI,"American Electric Technologies, Inc.",0.6125,5461135.138,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti
AEY,"ADDvantage Technologies Group, Inc.",1.33,13707172.85,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
AEYE,"AudioEye, Inc.",6.5,48618537.5,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aeye
AEZS,AEterna Zentaris Inc.,2.13,35018818.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AFB,Alliance National Municipal Income Fund Inc,11.98,344364333.3,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,25.48,203840000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",106.18,9470088020,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
AFGE,"American Financial Group, Inc.",25.35,0,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",25.07,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh
AFH,"Atlas Financial Holdings, Inc.",10.52,125576924.4,n/a,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afh
AFHBL,"Atlas Financial Holdings, Inc.",25.776,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afhbl
AFI,"Armstrong Flooring, Inc.",15.82,407716678.6,n/a,2016,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/afi
AFIN,"American Finance Trust, Inc.",12.28,1303195868,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin
AFL,Aflac Incorporated,45.21,34417439187,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
AFMD,Affimed N.V.,4.21,262821543.2,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AFSI,"AmTrust Financial Services, Inc.",14.27,2819427300,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi
AFSI^A,"AmTrust Financial Services, Inc.",16.02,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",16.25,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",17.12,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",16.13,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",16.835,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",15.7,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",22.2347,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",23.0728,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst
AFT,Apollo Senior Floating Rate Fund Inc.,15.37,239357947.6,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft
AG,First Majestic Silver Corp.,5.54,1072906870,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag
AGCO,AGCO Corporation,57.93,4583347971,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
AGD,Aberdeen Global Dynamic Dividend Fund,9.55,119848508.1,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
AGEN,Agenus Inc.,2.06,233361159,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGFS,"AgroFresh Solutions, Inc.",5.25,265056550.5,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.14,0,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
AGI,Alamos Gold Inc.,3.79,1478324599,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
AGIO,"Agios Pharmaceuticals, Inc.",71.89,4182465018,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGLE,"Aeglea BioTherapeutics, Inc.",9.55,210052555.6,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AGM,Federal Agricultural Mortgage Corporation,75.16,801850548,n/a,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/agm
AGM.A,Federal Agricultural Mortgage Corporation,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm.a
AGM^A,Federal Agricultural Mortgage Corporation,24.81,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^a
AGM^B,Federal Agricultural Mortgage Corporation,26.13,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^b
AGM^C,Federal Agricultural Mortgage Corporation,26,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^c
AGMH,AGM Group Holdings Inc.,24.2715,517372628.9,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGN,Allergan plc.,169.31,57105884533,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn
AGNC,AGNC Investment Corp.,17.85,8529301146,n/a,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.36,8785974105,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.4927,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,44.24,39816000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agnd
AGO,Assured Guaranty Ltd.,41.43,4490475813,n/a,2004,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ago
AGO^B,Assured Guaranty Ltd.,25.83,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^b
AGO^E,Assured Guaranty Ltd.,25.0972,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^e
AGO^F,Assured Guaranty Ltd.,24.3411,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ago^f
AGR,"Avangrid, Inc.",48.24,14906414321,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/agr
AGRO,Adecoagro S.A.,7.5,874164240,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
AGRX,"Agile Therapeutics, Inc.",0.9454,32500326.84,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
AGS,"PlayAGS, Inc.",24,846298944,n/a,2018,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/ags
AGTC,Applied Genetic Technologies Corporation,6.99,126756611.1,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agtc
AGX,"Argan, Inc.",46.83,729083110.8,n/a,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/agx
AGYS,"Agilysys, Inc.",16.42,386334866.6,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.82,57384000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agzd
AHC,A.H. Belo Corporation,4.44,96093707.88,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
AHH,"Armada Hoffler Properties, Inc.",15.56,760757450.5,n/a,2013,Finance,Real Estate,https://www.nasdaq.com/symbol/ahh
AHL,Aspen Insurance Holdings Limited,42.06,2510883958,n/a,2003,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ahl
AHL^C,Aspen Insurance Holdings Limited,24.9916,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,22.8758,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ahl^d
AHPA,Avista Healthcare Public Acquisition Corp.,10.15,121810373.3,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ahpa
AHPAU,Avista Healthcare Public Acquisition Corp.,10.36,0,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ahpau
AHPAW,Avista Healthcare Public Acquisition Corp.,0.21,0,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ahpaw
AHPI,"Allied Healthcare Products, Inc.",2.13,8548833.81,n/a,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
AHT,Ashford Hospitality Trust Inc,5.45,550659443.5,n/a,2003,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aht
AHT^D,Ashford Hospitality Trust Inc,25.2,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,22.8,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,22.7,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aht^g
